DateTime,AddedIPs,RemovedIPs
1539267389,58,46
1539289242,14,10
1539311321,10,14
1539333167,19,31
1539355229,18,48
1539377081,13,26
1539399149,29,35
1539421007,12,15
1539442902,51,12
1539464924,59,14
1539487053,6,8
1539509056,31,19
1539530912,12,12
1539552993,3,8
1539575061,3,9
1539596909,4,5
1539618768,1,7
1539640902,8,19
1539662939,51,28
1539684995,41,6
1539707322,4,14
1539729645,41,19
1539751722,27,21
1539773569,15,8
1539795923,62,7
1539818200,32,28
1539840272,12,48
1539862370,10,7
1539884661,10,61
1539906790,6,11
1539928883,31,10
1539950932,17,9
1539972999,8,8
1539995067,17,10
1540017215,8,9
1540039223,17,10
1540061325,30,63
1540083206,15,14
1540105352,35,17
1540127396,6,16
1540149394,14,10
1540171470,11,3
1540193563,34,7
1540215415,38,3
1540237491,4,6
1540259538,10,23
1540281534,4,34
1540303465,5,4
1540325558,5,10
1540347447,3,37
1540369725,50,15
1540391797,8,28
1540413659,7,64
1540435978,7,25
1540458103,17,11
1540480109,8,10
1540501976,10,6
1540524043,7,18
1540545890,5,25
1540567952,2,15
1540590056,4,16
1540612115,44,16
1540634192,24,14
1540656109,8,37
1540678146,6,3
1540700204,74,40
1540722287,12,10
1540744365,4,11
1540766446,7,5
1540788526,38,35
1540810368,13,76
1540832216,15,10
1540854110,10,10
1540876122,19,4
1540897983,54,7
1540920287,39,1
1540942612,71,4
1540964661,32,47
1540986533,18,27
1541008912,4,11
1541030936,0,12
1541053027,2,5
1541075085,11,12
1541097409,9,6
1541119265,67,6
1541141118,36,6
1541163060,4,5
1541185000,12,3
1541207084,12,29
1541229408,21,16
1541251486,1,3
1541273913,10,10
1541295884,8,3
1541318200,39,14
1541340091,4,4
1541362114,6,65
1541384209,10,10
1541406269,4,15
1541428365,4,6
1541450206,7,9
1541472047,19,3
1541494383,4,34
1541516499,7,6
1541538540,9,57
1541560840,19,30
1541582683,5,35
1541604745,7,2
1541626606,17,3
1541648690,9,3
1541670753,2,2
1541692597,2,8
1541714493,34,20
1541736780,26,79
1541758828,8,7
1541780676,8,13
1541802748,12,12
1541824834,14,35
1541846914,6,7
1541868764,23,20
1541891103,25,11
1541913158,8,59
1541935509,14,29
1541957823,10,5
1541979859,4,23
1542001717,10,15
1542023798,18,3
1542045873,8,9
1542067745,24,28
1542089839,59,18
1542111889,30,7
1542134003,8,17
1542156275,4,28
1542178360,16,7
1542200485,1,8
1542222508,8,20
1542244594,16,5
1542266685,17,7
1542288529,16,9
1542310869,5,11
1542332909,8,67
1542355302,14,2
1542377574,5,14
1542399875,4,5
1542421966,37,10
1542444025,2,18
1542466114,10,16
1542487970,25,32
1542510106,19,4
1542532108,1,24
1542554190,3,5
1542576255,37,5
1542598118,46,5
1542620181,19,5
1542642095,2,16
1542664116,5,14
1542686201,11,61
1542708110,18,55
1542730196,8,9
1542752195,71,6
1542774285,40,15
1542796364,1,6
1542818427,14,9
1542840522,10,15
1542862371,39,8
1542884230,15,21
1542906273,7,3
1542928118,24,5
1542950434,32,12
1542972752,21,3
1542994828,47,5
1543016695,7,16
1543038747,5,11
1543060923,12,3
1543082892,9,6
1543104988,12,19
1543126834,4,5
1543149158,8,3
1543171241,9,4
1543193305,10,36
1543215178,5,16
1543237306,6,7
1543259319,12,2
1543281259,12,12
1543303493,8,8
1543325567,23,6
1543347412,17,26
1543369474,11,37
1543391329,21,8
1543413191,12,5
1543435494,3,6
1543457554,6,33
1543479407,4,25
1543501482,35,8
1543523719,19,8
1543545647,3,43
1543567966,1,22
1543590314,1,67
1543612387,1,19
1543634682,6,12
1543656782,4,14
1543679085,3,38
1543701171,4,17
1543723317,1,10
1543745348,1,15
1543767405,3,23
1543789473,2,26
1543811800,4,11
1543833900,4,2
1543856214,3,23
1543878556,4,11
1543900614,5,24
1543922676,8,34
1543944764,4,104
1543966836,3,6
1543988917,4,64
1544010778,4,45
1544033094,39,16
1544055393,2,12
1544077249,7,23
1544099345,3,111
1544121408,45,114
1544143478,172,25
1544165804,116,2
1544187749,20,0
1544209723,50,1
1544231577,84,6
1544253884,40,2
1544275966,19,1
1544298022,15,1
1544319890,115,3
1544341958,22,1
1544364125,40,3
1544386138,35,4
1544408209,20,1
1544430525,24,0
1544452860,21,5
1544474921,11,5
1544496770,13,2
1544518932,7,3
1544541178,1,3
1544563240,2,7
1544585092,3,3
1544606939,2,4
1544628978,3,36
1544651087,0,4
1544673391,3,6
1544695302,2,5
1544717611,1,10
1544739877,2,27
1544761816,17,36
1544783796,12,9
1544805876,5,9
1544827931,6,27
1544849819,9,27
1544871681,1,13
1544893719,0,6
1544916034,3,33
1544937892,1,62
1544959737,4,26
1544981795,6,81
1545003879,12,36
1545025942,22,40
1545048136,37,73
1545070096,20,35
1545092275,9,77
1545114273,1,53
1545136128,25,20
1545157970,35,0
1545180017,47,3
1545201863,2,5
1545223707,13,3
1545245553,3,3
1545267404,17,1
1545289353,1,4
1545311315,1,1
1545333390,2,1
1545355479,2,15
1545377568,0,42
1545399618,0,14
1545421495,2,6
1545443575,2,9
1545465720,4,17
1545487958,1,2
1545509805,8,6
1545531649,11,3
1545553984,5,8
1545576084,55,9
1545598136,19,1
1545620174,6,12
1545642135,6,48
1545664103,11,48
1545686207,4,23
1545708258,3,3
1545730368,4,7
1545752431,1,26
1545774282,0,71
1545796375,3,10
1545818511,3,11
1545840806,0,11
1545862820,3,20
1545884902,3,3
1545906747,3,2
1545928849,0,4
1545950715,1,2
1545972755,2,1
1545994601,5,0
1546016511,1,2
1546038526,1,1
1546060383,2,3
1546082453,1,2
1546104508,1,1
1546126611,2,17
1546148665,1,8
1546170533,1,51
1546192602,1,57
1546214485,0,31
1546236533,1,3
1546258614,7,7
1546280657,22,20
1546302763,12,4
1546324637,9,2
1546346664,14,2
1546368750,9,0
1546390620,2,0
1546412687,5,5
1546434750,13,1
1546456625,166,3
1546478471,3,1
1546500746,13,1
1546522588,5,0
1546544659,17,2
1546566517,27,2
1546588601,3,0
1546610515,6,3
1546632792,44,1
1546654841,8,3
1546676686,5,1
1546698769,7,3
1546720834,11,1
1546742934,1,1
1546764999,2,3
1546787090,0,2
1546809199,2,0
1546831042,3,1
1546853066,3,3
1546875173,22,7
1546897334,7,9
1546919330,7,2
1546941182,29,9
1546963311,11,9
1546985580,3,0
1547007620,8,2
1547029463,0,2
1547051348,3,88
